#A in mm	TEM00 I in muA	TEM10 I in muA
#0		0.058		0.041
1		0.112		0.078
2		0.199		0.142
3		0.332		0.166
4		0.458		0.204
5		0.623		0.298
6		1.187		0.367
7		1.221		0.286
8		2.120		0.384
9		2.332		0.233
10		3.140		0.220
11		3.165		0.076
12		3.954		0.048
13		4.195		0.010
14		4.222		0.024
15		4.408		0.100
16		5.006		0.204
17		4.207		0.387
18		3.644		0.502
19		2.903		0.562
20		2.323		0.601
21		1.580		0.499
22		1.352		0.760
23		1.172		0.701
24		0.904		0.603
25		0.673		0.512
26		0.522		0.422
27		0.220		0.244
28		0.186		0.249
29		0.143		0.200
30		0.062		0.070
31		0.053		0.059
